Compound Name,Molecular Formula,SMILES,P,对接分数（8WE3),2Q9S(2007年）,2QM9（2007年）A链,2QM9（2007年）B链
Obacunone,C26H30O7,C[C@@]12CC[C@@H]3[C@]4(C=CC(=O)OC([C@@H]4CC(=O)[C@]3([C@@]15[C@H](O5)C(=O)O[C@H]2C6=COC=C6)C)(C)C)C,FABP4,-6.6799,-6.4661,×,7.5314
Isoastragaloside I,C45H72O16,,,,,,
Isoastragaloside I,C45H72O16,,,,,,
Quercetin 3-O-alpha-L-rhamnoside,C21H20O11,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,FABP4,-7.1093,-6.6248,×,-0.7909
Lablab saponin I,C54H82O22,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8OC9CC(=O)C(=C(O9)C)O)(C)C)C=O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,FABP4,×,×,×,×
3-acetyloledronic acid,C32H50O4,,,,,,
Coumarin,C9H6O2,C1=CC=C2C(=C1)C=CC(=O)O2,FABP4,-6.0964,-6.1908,×,-6.1665
"3,5,6-Trihydroxy-3',4',7-trimethoxyflavone",C18H16O8,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)O)OC,FABP4,-6.6483,-4.1594,×,-4.9717
Isobergapten,C12H8O4,COC1=C2C=CC(=O)OC2=C3C=COC3=C1,FABP4,-6.181,-5.7263,×,-5.3358
p-Cymene,C10H14,CC1=CC=CC=C1C(C)C,FABP4,-5.7248,-5.9097,×,-5.674
p-Cymene,C10H14,CC1=CC=CC=C1C(C)C,,,,,
Calycosin-7-O-beta-D-glucoside,C22H22O10,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,FABP4,-6.6865,-6.6995,×,-6.6369
Isomucronulatol 7-O-glucoside,C23H28O10,"COC1=C(C(=C(C=C1)C2CC3=C(C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC2)O)OC
COC1=C(C(=C(C=C1)[C@H]2CC3=C(C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC2)O)OC
COC1=C(C(=C(C=C1)C2CC3=C(C=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC2)O)OC",FABP4,-6.1238,-4.8147,×,-6.3537
Poricoic acid C,C31H46O4,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)C(=O)O,FABP4,-6.7388,×,×,7.9314
Aviprin,C16H16O6,CC(C)([C@@H](COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)O)O,FABP4,-6.6768,-2.636,×,-5.8573
Glabrolide,C30H44O4,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2C(=O)C=C4[C@]3(CC[C@@]5([C@H]4C[C@@]6(C[C@H]5OC6=O)C)C)C)C)(C)C)O,FABP4,-6.7154,-6.3764,×,8.2923
Retrochalcone,C16H14O4,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,FABP4,-6.3221,-5.4017,×,-6.7013
6-Methoxy-7-hydroxycoumarin,C10H8O4,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,FABP4,-6.6102,-6.0425,×,-6.1668
"(6aR,11aR)10-hydroxy-3,9-dimethoxypterocarpan",C17H16O5,,,,,,
Lablaboside B,C54H86O24,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(CC8)(C)C)C(=O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,FABP4,×,×,×,×
Astragaloside IV,C41H68O14,C[C@]12CC[C@@]34C[C@@]35CC[C@@H](C([C@@H]5[C@H](C[C@H]4[C@@]1(C[C@@H]([C@@H]2[C@]6(CC[C@H](O6)C(C)(C)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,FABP4,×,×,×,10.9783
4'-O-Glucosylvitexin,C27H30O15,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,FABP4,-7.505,-3.8428,×,-6.2647
Lablaboside D,C60H94O28,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)COC(=O)CC(C)(CC(=O)O)O)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,FABP4,×,×,×,76.3154
Trametenolic acid,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,FABP4,-6.534,10.0881,×,13.3649
Trametenolic acid,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,,,,,
Mongholicoside Ⅰ,C36H60O9,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Isopimpinellin,C13H10O5,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,FABP4,-6.3708,-6.2091,×,-5.2933
Daucosterol,C35H60O6,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,FABP4,-6.0089,×,×,52.1275
Lablaboside F,C66H106O31,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O)O)O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(CC[C@@H]8[C@@]7(CC[C@@H](C8(C)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)C(=O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)C)C)[C@@H]4CC(CC5)(C)C)C)CO)O)O)C)O)O)O
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(C(C(OC3OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(C(O9)C(=O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)C)CO)O)O)C)O)O)O",FABP4,×,×,×,×
"3,4-Dihydroxycinnamic acid",C9H8O4,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,FABP4,-6.6245,-6.2225,×,-6.3039
Kaempferol-4 '-methylether-3-glucoside,C22H22O11,,,,,,
Portulaca moniterpene A,C16H26O7,,,,,,
Methylnissolin-3-O-glucoside,C23H26O10,COC1=C(C2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC,FABP4,-6.5331,-4.5484,×,-6.3214
Behenic acid,C22H44O2,CCCCCCCCCCCCCCCCCCCCCC(=O)O,FABP4,-5.4986,-6.0763,×,32.1356
Scoparone,C11H10O4,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,FABP4,-6.3024,-6.0924,×,-5.7375
Oxylatine - 7-O-beta-D-glucoside,C22H24O9,,,,,,
